micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
651	1	5	1	True
652	1	1	0.5	True
652	2	2	0.5	False
653	1	5	1	True
654	1	2	1	True
655	1	5	0.5	True
655	2	4	0.5	False
656	1	1	1	True
657	1	3	1	True
658	1	2	1	True
659	1	4	1	True
660	1	3	1	True
661	1	3	1	True
662	1	3	1	True
663	1	3	0.5	True
663	2	5	0.5	False
664	1	5	1	True
665	1	2	1	True
666	1	3	1	True
667	1	5	1	True
668	1	2	1	True
669	1	4	1	True
670	1	3	1	True
671	1	2	1	True
672	1	1	0.5	True
672	2	5	0.5	False
673	1	2	1	True
674	1	1	1	True
675	1	2	1	True
676	1	2	1	True
677	1	1	1	True
678	1	2	1	True
679	1	5	1	True
680	1	3	0.5	True
680	2	4	0.5	False
681	1	3	1	True
682	1	5	0.5	True
682	2	3	0.5	False
683	1	3	1	True
684	1	2	1	True
685	1	2	1	True
686	1	2	0.5	True
686	2	4	0.5	False
687	1	3	1	True
688	1	5	1	True
689	1	5	0.5	True
689	2	4	0.5	False
690	1	3	0.5	True
690	2	5	0.5	False
691	1	2	1	True
692	1	1	0.5	True
692	2	4	0.5	False
693	1	2	1	True
694	1	2	1	True
695	1	2	0.5	True
695	2	4	0.5	False
696	1	2	1	True
697	1	2	1	True
698	1	5	0.3333333333333333	True
698	2	3	0.3333333333333333	False
698	3	1	0.3333333333333333	False
699	1	4	0.5	True
699	2	1	0.5	False
700	1	3	1	True
701	1	3	1	True
702	1	4	1	True
703	1	5	0.5	True
703	2	1	0.5	False
704	1	2	0.5	True
704	2	3	0.5	False
705	1	3	1	True
706	1	2	1	True
707	1	3	1	True
708	1	2	0.5	True
708	2	1	0.5	False
709	1	5	0.5	True
709	2	1	0.5	False
710	1	4	0.3333333333333333	True
710	2	3	0.3333333333333333	False
710	3	2	0.3333333333333333	False
711	1	5	1	True
712	1	1	0.5	True
712	2	5	0.5	False
713	1	3	1	True
714	1	5	1	True
715	1	5	1	True
716	1	3	0.5	True
716	2	4	0.5	False
717	1	3	1	True
718	1	1	1	True
719	1	5	1	True
720	1	5	1	True
721	1	3	1	True
722	1	1	1	True
723	1	3	1	True
724	1	2	1	True
725	1	2	0.5	True
725	2	3	0.5	False
726	1	1	1	True
727	1	3	0.3333333333333333	True
727	2	5	0.3333333333333333	False
727	3	2	0.3333333333333333	False
728	1	2	1	True
729	1	3	0.5	True
729	2	2	0.5	False
730	1	1	1	True
731	1	1	0.5	True
731	2	5	0.5	False
732	1	3	1	True
733	1	4	0.5	True
733	2	2	0.5	False
734	1	5	0.5	True
734	2	1	0.5	False
735	1	3	1	True
736	1	3	1	True
737	1	2	0.5	True
737	2	1	0.5	False
738	1	1	1	True
739	1	5	0.5	True
739	2	3	0.5	False
740	1	5	0.5	True
740	2	3	0.5	False
741	1	5	1	True
742	1	5	1	True
743	1	5	1	True
744	1	3	1	True
745	1	2	1	True
746	1	2	1	True
747	1	1	0.5	True
747	2	4	0.5	False
748	1	2	1	True
749	1	1	1	True
750	1	4	0.5	True
750	2	3	0.5	False
751	1	2	0.5	True
751	2	1	0.5	False
752	1	3	1	True
753	1	4	1	True
754	1	2	1	True
755	1	2	1	True
756	1	2	1	True
757	1	5	0.5	True
757	2	1	0.5	False
758	1	1	1	True
759	1	1	1	True
760	1	2	1	True
761	1	5	1	True
762	1	1	0.5	True
762	2	2	0.5	False
763	1	1	0.3333333333333333	True
763	2	5	0.3333333333333333	False
763	3	3	0.3333333333333333	False
764	1	5	1	True
765	1	4	1	True
766	1	4	1	True
767	1	5	0.5	True
767	2	3	0.5	False
768	1	3	0.3333333333333333	True
768	2	5	0.3333333333333333	False
768	3	1	0.3333333333333333	False
769	1	2	1	True
770	1	4	0.5	True
770	2	5	0.5	False
771	1	2	1	True
772	1	5	1	True
773	1	2	1	True
774	1	4	1	True
775	1	5	1	True
776	1	2	1	True
777	1	1	1	True
778	1	1	1	True
779	1	4	1	True
780	1	5	0.5	True
780	2	3	0.5	False
781	1	3	1	True
782	1	2	0.5	True
782	2	3	0.5	False
783	1	3	1	True
784	1	2	0.5	True
784	2	5	0.5	False
785	1	1	1	True
786	1	2	1	True
787	1	5	0.3333333333333333	True
787	2	3	0.3333333333333333	False
