meso_cluster_id	source_seq	source_id	n_works
81	6	4210169774	1508
81	7	2485537415	1377
81	8	2898246533	1127
81	9	4210179954	1080
81	10	2764905038	999
82	1	4306400194	5187
82	2	183492911	5099
82	3	106296714	4538
82	4	4210173141	2369
82	5	115173108	2073
82	6	110206669	1581
82	7	4306463937	1577
82	8	2485537415	1486
82	9	38090728	976
82	10	4210179954	924
83	1	4306525036	4124
83	2	98026630	4123
83	3	134644764	3805
83	4	108911230	3069
83	5	4210196743	1762
83	6	4306463230	1744
83	7	4306463937	1611
83	8	29564236	1311
83	9	38919146	1260
83	10	2737566431	1138
84	1	4210172589	21623
84	2	4306401271	11508
84	3	4306400194	6460
84	4	4306463937	4212
84	5	106296714	3138
84	6	94044085	2423
84	7	62201805	2022
84	8	149131268	1655
84	9	36178057	1567
84	10	4306462995	1227
85	1	156181945	7241
85	2	98455728	7160
85	3	191963794	6303
85	4	79832926	4869
85	5	124795565	4047
85	6	143604795	3981
85	7	192559872	3950
85	8	198339081	3488
85	9	12065667	3110
85	10	105746325	3077
86	1	106296714	9580
86	2	4306400194	5894
86	3	4306463937	2888
86	4	2764900261	1846
86	5	2764905038	1757
86	6	12529635	1672
86	7	2485537415	1488
86	8	4210172589	1184
86	9	4210169156	1178
86	10	4306463409	1049
87	1	145575934	7197
87	2	4306400194	2835
87	3	4306463937	2372
87	4	10134376	2180
87	5	64511102	2131
87	6	144771191	1977
87	7	4210172589	1878
87	8	2764743394	1777
87	9	106296714	1765
87	10	159637997	1760
88	1	4306400194	55164
88	2	184147796	4691
88	3	53865935	3339
88	4	4805881	2245
88	5	55337115	2199
88	6	122441808	2141
88	7	20133105	2034
88	8	4210226894	1971
88	9	106486924	1882
88	10	4306463937	1568
89	1	2484704948	2941
89	2	4306402567	2902
89	3	4306525036	2641
89	4	4306463230	2481
89	5	4306402450	2464
89	6	202381698	2172
89	7	196734849	1946
89	8	110785341	1860
89	9	158228368	1702
89	10	4306463937	1455
90	1	106296714	11643
90	2	4306400194	7125
90	3	4306463937	2663
90	4	45693802	1837
90	5	414566	1792
90	6	2764905038	1498
90	7	183492911	1493
90	8	2764900261	1405
90	9	2485537415	1389
90	10	110206669	1228
91	1	4306463855	4607
91	2	4306463937	3248
91	3	4306463637	2091
91	4	4306401280	1970
91	5	4306462995	1856
91	6	130873806	1598
91	7	4306463091	1519
91	8	2764590641	1492
91	9	104917558	1266
91	10	4306463716	1242
92	1	4306525036	7258
92	2	15137598	5101
92	3	168522863	3354
92	4	4306463937	3251
92	5	142211178	2985
92	6	181123643	2178
92	7	177486402	2112
92	8	110533041	1840
92	9	41454044	1744
92	10	169520197	1700
93	1	4210172589	4177
93	2	4306463937	4038
93	3	184816971	3319
93	4	65690446	2504
93	5	10134376	2385
93	6	58516903	2377
93	7	103321696	2235
93	8	196821226	1413
93	9	149070780	1219
93	10	4210185096	929
94	1	4210237713	11269
94	2	6791298	6510
94	3	4306400194	5998
94	4	105243760	4177
94	5	24807848	3930
94	6	143846845	3043
94	7	188605413	2709
94	8	95739953	2609
94	9	145476921	2595
94	10	23181512	2497
95	1	4306463937	5956
95	2	68052730	3587
95	3	190270160	3387
95	4	2764743818	2702
95	5	4306463855	2546
95	6	173880072	2474
95	7	4306462995	2233
95	8	126146781	1910
95	9	4306463705	1683
95	10	35778795	1667
96	1	4363604106	20205
96	2	19016632	5745
96	3	186935893	4337
96	4	164770093	2539
96	5	55916960	2138
96	6	93565542	1967
96	7	4306463230	1829
96	8	35794861	1819
96	9	142630227	1818
96	10	75069817	1789
97	1	4306525036	6769
97	2	19793444	4182
97	3	54816476	2971
97	4	135934248	2926
97	5	4306463937	2553
97	6	144187503	2299
97	7	74622277	1882
97	8	4306402450	1267
97	9	47192491	1204
97	10	192814187	1152
98	1	11296630	6007
98	2	4306525036	5355
98	3	19176856	4673
98	4	82774605	3275
98	5	4306463937	2880
98	6	200672447	2647
98	7	198335345	2529
98	8	170890380	2448
98	9	42775958	2239
98	10	163740676	2070
99	1	4306525036	6434
99	2	4306402450	3632
99	3	202381698	3406
99	4	10623703	2768
99	5	196734849	2479
99	6	126644158	2372
99	7	4306402567	1948
99	8	58832373	1735
99	9	95395365	1640
99	10	151589183	1539
100	1	161954266	3932
100	2	163807576	2899
100	3	164001016	2608
100	4	131016564	2451
100	5	4306463230	2133
100	6	2479884170	2096
100	7	101287785	1866
100	8	145476921	1816
100	9	23181512	1722
100	10	22793308	1694
101	1	86852077	4866
101	2	87561820	3403
101	3	4306525036	3171
101	4	203465130	3023
101	5	13479253	2789
101	6	201530359	2594
101	7	11732831	2053
101	8	145089992	1948
101	9	101229256	1769
101	10	4306463937	1615
102	1	4306400194	3499
102	2	4306463937	3116
102	3	106296714	2826
102	4	6785741	2105
102	5	4210169774	2096
102	6	4210194614	1875
102	7	128754310	1575
102	8	92163612	1287
102	9	2913450704	1113
102	10	144620930	1112
103	1	4210202285	12635
103	2	164770093	6945
103	3	32869529	5188
103	4	4210174958	3838
103	5	48860480	2931
103	6	186935893	2024
103	7	62676688	1895
103	8	4306463937	1892
103	9	2497375143	1876
103	10	4210208105	1591
104	1	4924609	12104
104	2	41354064	9612
104	3	108008259	6910
104	4	4210168331	6587
104	5	166159787	6515
104	6	171072222	6426
104	7	111155417	5436
104	8	4210200754	5381
104	9	67393510	5262
104	10	68911691	4185
105	1	59479367	8261
105	2	85738991	7516
105	3	189798733	4938
105	4	149016011	2845
105	5	198879913	2734
105	6	130260941	2327
105	7	43247408	2153
105	8	37189094	2066
105	9	4306418306	1803
105	10	2485537415	1795
106	1	48860480	8105
106	2	177147899	6380
106	3	198339081	5473
106	4	2764437742	4084
106	5	138759888	3528
106	6	164001016	2626
106	7	95739953	2499
106	8	4210205149	2441
106	9	37391459	2090
106	10	143604795	1939
107	1	4306463855	2575
107	2	4306463937	2265
107	3	9692511	1966
107	4	61781353	1914
107	5	110744938	1705
107	6	86063550	1670
107	7	94640471	1488
107	8	145511678	1296
107	9	4306462995	1067
107	10	4306463230	1053
108	1	4306525036	7737
108	2	155128447	4317
108	3	11852655	4010
108	4	31573680	2687
108	5	46544255	2539
108	6	161475033	2163
108	7	80413395	2052
108	8	4306463937	1932
108	9	8555896	1725
108	10	4306463230	1683
109	1	4210172589	15133
109	2	4306401271	12254
109	3	4306463937	3959
109	4	4306463855	3280
109	5	4306463708	2103
109	6	4306463716	1957
109	7	4306463223	1460
109	8	4306464262	1379
109	9	4306462995	1189
109	10	163774179	847
110	1	157690423	4163
110	2	152904045	2923
110	3	121360315	2856
110	4	3006207977	2820
110	5	4306402567	2605
110	6	202381698	2467
110	7	188482970	2434
110	8	136529485	2331
110	9	87560609	2082
110	10	4306463937	1981
111	1	171076697	5183
111	2	99846442	4809
111	3	105243760	4507
111	4	2500738039	3368
111	5	164001016	2939
111	6	95739953	2931
111	7	99352657	2847
111	8	177196338	2402
111	9	135204980	2373
111	10	187991544	1879
112	1	106296714	10616
112	2	4306463937	3666
112	3	4306400194	1320
112	4	2764900261	1240
112	5	4306463409	1199
112	6	2764905038	1032
112	7	71913804	1022
112	8	4306402512	913
112	9	101949793	863
112	10	4306463230	751
113	1	200071133	17470
113	2	4306525036	5894
113	3	59987174	3909
113	4	14436165	3657
113	5	183182149	3520
113	6	149476849	2760
113	7	153015021	2352
113	8	136942575	2199
113	9	15137598	2121
113	10	4306463937	2023
114	1	4210172589	7602
114	2	4306401271	5983
114	3	58516903	4210
114	4	87561820	4181
114	5	10134376	3741
114	6	4306463937	3338
114	7	175056054	2932
114	8	94499970	1824
114	9	108239708	1735
114	10	4306463855	1453
115	1	4306463937	3990
115	2	4306525036	2184
115	3	4306463855	1779
115	4	4019948	1749
115	5	60711021	1501
115	6	87914957	1480
115	7	4306463230	1273
115	8	58220144	1188
115	9	177929781	1025
115	10	159275680	934
116	1	4306463091	6897
116	2	4306463708	4092
116	3	4306462995	2982
116	4	11296630	2515
116	5	4306463855	1646
116	6	4306402512	1609
116	7	105737376	1606
116	8	4210177968	1450
116	9	4210203166	1373
116	10	4210217077	1352
117	1	4306400194	27572
117	2	106296714	11991
117	3	18902827	5146
117	4	171741597	4078
117	5	4306463937	2743
117	6	90727058	2258
117	7	193368155	2037
117	8	186126824	1718
117	9	902237881	1616
117	10	38448739	1591
118	1	4306525036	6714
118	2	122069063	3385
118	3	75411654	2868
118	4	43139658	2400
118	5	163807576	2267
118	6	184573928	2264
118	7	166781098	1966
